area_name,dr_number,srnumber
77th street,1052,15780
central,647,2588
devonshire,707,19796
foothill,510,7140
harbor,557,7241
hollenbeck,533,5863
hollywood,695,2085
mission,675,8775
n hollywood,769,0
newton,730,7300
northeast,656,11808
olympic,754,5278
pacific,786,5502
rampart,571,1713
southeast,636,9540
southwest,943,9430
topanga,647,9058
van nuys,789,14202
west la,771,0
west valley,758,9854
wilshire,814,8954
