cd,victim_age,srnumber
1.0,41.866401600738314,252984
2.0,41.86865705385852,105273
3.0,42.77204370394247,343460
4.0,40.851018748712896,292958
5.0,41.57963639188874,182182
6.0,42.29982823664942,343170
7.0,42.02905885201459,311220
8.0,40.28360052761851,574515
9.0,40.04735594791825,323519
10.0,40.29311613345348,397559
11.0,42.67053701015965,245232
12.0,42.75779823189144,373403
13.0,40.88258931755515,330633
14.0,42.369846659806356,246604
15.0,40.95163545907949,271748
