zipcode,dr_number,srnumber
0,943,0
90001,2418,28396
90002,636,26076
90003,2418,105190
90004,2139,40520
90005,2139,13206
90006,1325,47839
90007,2998,98931
90008,943,5658
90010,1568,11370
90011,730,158410
90012,1218,43692
90013,647,21351
90014,1377,9705
90015,2891,45731
90016,1757,18771
90017,1218,22078
90018,2511,34233
90019,1568,38532
90020,1568,18910
90021,1377,56608
90023,533,30381
90026,1874,89183
90027,1351,35782
90028,695,30580
90029,2676,53444
90031,1189,22181
90032,533,11726
90033,533,50635
90034,1600,19004
90035,814,2442
90036,814,20350
90037,2725,162518
90038,1509,25258
90039,656,16400
90041,656,5248
90042,1189,21443
90043,1995,13676
90044,1688,48220
90045,786,6288
90046,1509,9987
90047,1052,28404
90048,814,5698
90056,786,0
90057,571,35402
90058,730,23360
90059,636,13992
90061,636,15264
90062,1995,17448
90063,533,12259
90064,786,3144
90065,656,21648
90066,786,17292
90068,695,2780
90069,1509,0
90071,647,2588
90077,789,0
90094,786,0
90230,786,9432
90232,786,1572
90247,636,15264
90248,1193,4215
90291,786,25152
90292,786,8646
90293,786,3144
90501,557,15039
90710,557,13925
90717,557,557
90731,557,25622
90732,557,3899
90744,557,38990
91040,510,1020
91042,510,510
91214,510,0
91303,647,10352
91304,1354,6530
91306,1354,12653
91307,647,3882
91311,1354,10545
91316,758,8338
91324,1465,9949
91325,1465,11414
91326,707,2121
91331,1185,26280
91335,758,34110
91340,1185,4050
91342,1892,63990
91343,1382,22787
91344,707,7777
91345,675,11475
91352,1185,19875
91356,1405,17434
91364,647,5176
91367,647,1294
91401,789,22092
91402,675,12150
91403,1547,3914
91405,789,30771
91406,2222,39529
91411,789,7101
91423,789,6312
91436,758,1516
91504,510,0
91505,510,0
91604,789,789
91605,1185,6450
91606,789,0
91607,789,0
