month,dr_number,srnumber
2010-01,84,4611
2010-02,68,3241
2010-03,99,5481
2010-04,81,4338
2010-05,87,5295
2010-06,75,4113
2010-07,106,6195
2010-08,89,5420
2010-09,97,5615
2010-10,75,4455
2010-11,93,5117
2010-12,98,5771
2011-01,101,6102
2011-02,79,4351
2011-03,89,4979
2011-04,98,5436
2011-05,86,5228
2011-06,75,3990
2011-07,88,5463
2011-08,93,5508
2011-09,83,5450
2011-10,90,5030
2011-11,96,5664
2011-12,79,4818
2012-01,101,5108
2012-02,84,4904
2012-03,100,5122
2012-04,93,5015
2012-05,104,5143
2012-06,80,4495
2012-07,78,4103
2012-08,79,4249
2012-09,86,4916
2012-10,108,5514
2012-11,97,4866
2012-12,97,5683
2013-01,85,4871
2013-02,85,4574
2013-03,84,4779
2013-04,79,4440
2013-05,87,4476
2013-06,91,5105
2013-07,68,3878
2013-08,98,5793
2013-09,90,5212
2013-10,84,4785
2013-11,88,5092
2013-12,83,4170
2014-01,80,4676
2014-02,83,4246
2014-03,78,3821
2014-04,86,4868
2014-05,88,4747
2014-06,89,5602
2014-07,99,5197
2014-08,112,6569
2014-09,115,6360
2014-10,115,6492
2014-11,103,5735
2014-12,98,5740
2015-01,90,5260
2015-02,101,5982
2015-03,85,4831
2015-04,98,6358
2015-05,111,6161
2015-06,94,5060
2015-07,107,6473
2015-08,104,5940
2015-09,122,6571
2015-10,95,5511
2015-11,102,5975
2015-12,138,7746
2016-01,97,6106
2016-02,114,5866
2016-03,123,6957
2016-04,116,6422
2016-05,94,5462
2016-06,115,6379
2016-07,128,7652
2016-08,124,6590
2016-09,127,7345
2016-10,131,7426
2016-11,110,6547
2016-12,125,6559
2017-01,96,5432
2017-02,141,8627
2017-03,104,5802
2017-04,120,6762
2017-05,100,5752
2017-06,122,7493
2017-07,110,6051
2017-08,125,7404
2017-09,109,6339
2017-10,104,6105
2017-11,130,8019
2017-12,122,7165
2018-01,100,6056
2018-02,112,5979
2018-03,124,7308
2018-04,117,7402
2018-05,104,6242
2018-06,112,6257
2018-07,118,7150
2018-08,136,8270
2018-09,133,7174
2018-10,145,7871
2018-11,111,6062
2018-12,115,6825
2019-01,128,7176
2019-02,104,5772
2019-03,119,6363
2019-04,105,5864
2019-05,116,7625
2019-06,112,7079
2019-07,109,6480
2019-08,108,6106
2019-09,135,7698
2019-10,119,6788
2019-11,106,6025
2019-12,135,8136
2020-01,87,5175
2020-02,113,6994
2020-03,97,5983
2020-04,47,2931
2020-05,70,4528
2020-06,71,4566
2020-07,90,5026
2020-08,93,6186
2020-09,78,5745
2020-10,96,5757
2020-11,75,4931
2020-12,80,4952
2021-01,55,3884
2021-02,32,2252
2021-03,40,2488
2021-04,38,1857
2021-05,43,2887
2021-06,45,2657
2021-07,42,2641
2021-08,34,1830
2021-09,30,1737
2021-10,35,1869
2021-11,36,2163
2021-12,31,1823
2022-01,26,1429
2022-02,32,1971
2022-03,43,2679
2022-04,30,1596
2022-05,33,1720
2022-06,39,2494
2022-07,25,1421
2022-08,38,2089
2022-09,30,1558
2022-10,39,2211
2022-11,33,1872
2022-12,35,2239
2023-01,44,2628
2023-02,32,1811
2023-03,39,2109
2023-04,29,1537
2023-05,28,1782
2023-06,32,2122
2023-07,33,1675
2023-08,27,1717
2023-09,27,1626
2023-10,36,2053
2023-11,34,2504
2023-12,36,2545
2024-01,27,1568
2024-02,38,2068
2024-03,41,2075
2024-04,41,2727
2024-05,40,2378
2024-06,38,2332
2024-07,24,1554
2024-08,38,1953
2024-09,41,2706
2024-10,40,2481
2024-11,39,2294
2024-12,26,1361
2025-01,31,1507
2025-02,30,1729
2025-03,7,436
