area_name,victim_age,srnumber
77th street,40.29967776584318,15780
central,42.35254237288136,2588
devonshire,42.77133105802048,19796
foothill,41.85747663551402,7140
harbor,41.33766233766234,7241
hollenbeck,42.62637362637363,5863
hollywood,38.56699346405229,2085
mission,42.15714285714286,8775
n hollywood,40.43636363636364,0
newton,39.838862559241704,7300
northeast,43.09786476868327,11808
olympic,40.50917431192661,5278
pacific,42.67053701015965,5502
rampart,41.07692307692308,1713
southeast,40.10408921933085,9540
southwest,40.366467065868264,9430
topanga,42.477031802120145,9058
van nuys,41.863703703703706,14202
west la,41.6051051051051,0
west valley,43.1321044546851,9854
wilshire,40.045945945945945,8954
